Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,-,1325+000,1434+060,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,-,1438+000,1798+775,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,-,1810+775,1859+300,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,-,1852+990,1867+000,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,4,66,1204+120,1208+780,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,13,17,1213+700,1226+870,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,1,41,1249+524,1250+932,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,1,443,1257+404,1258+845,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,1,351,1298+150,1299+500,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,2,178,1458+522,1460+717,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,1,379,1463+320,1464+706,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,2,453,1794+471,1796+065,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,12,32,1798+775,1810+775,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,23,94,0+000,23+940,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
"Р-256 ""Чуйский тракт"" Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией",М-52,Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией,106,414,28+863,135+277,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией,209,288,135+277,344+565,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
-,-,Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией,609,395,353+612,963+007,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
-,-,Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией,19,941,0+000,19+941,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
-,-,Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией,11,364,0+000,11+364,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
-,-,Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией,4,381,0+000,4+381,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
"Р-257 ""Енисей"" Красноярск - Абакан - Кызыл - граница с Монголией",М-54,Красноярск - Абакан - Кызыл - граница с Монголией,391,35,15+000,406+350,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,8,268,424+000,432+268,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,8,935,436+665,445+600,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,1,951,406+350,408+301,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,12,319,410+881,423+200,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,8,18,415+820,424+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,5,397,430+584,434+650,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Красноярск - Абакан - Кызыл - граница с Монголией,633,446+000,1079+000,"ФКУ Упрдор ""Енисей""",(39422) 5-27-75,,
"Р-258 ""Байкал"" Иркутск - Улан-Удэ - Чита",М-55,Иркутск - Улан-Удэ - Чита,9,9,9+030,18+170,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Иркутск - Улан-Удэ - Чита,78,257,21+163,100+000,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Иркутск - Улан-Удэ - Чита,618,44,100+000,719+000,"ФКУ Упрдор ""Южный Байкал""",(3012) 21-56-81,
-,-,Иркутск - Улан-Удэ - Чита,386,418,719+000,1105+418,"ФКУ Упрдор ""Забайкалье""",(3022) 36-49-96,
"Р-297 ""Амур""Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск",-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,741,967,0+000,741+967,"ФКУ Упрдор ""Забайкалье""",(3022) 36-49-96,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,1012,681,794+000,885+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,886+000,917+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,918+000,962+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,965+000,978+1400,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,983+000,1142+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,1143+000,1369+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,1370+000,1448+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,1446+000,1811+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,124,0+000,124+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,359,439,1811+000,1850+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,1851+000,1910+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,1908+000,2052+780,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
